max_epoch,best_epoch,loss,precision,recall,F1,label_acc,Money_p
20,19,0.28843,88.88,90.37,89.62,88.38,78.64
,3708,add-1,92.79,90.88,91.83
,529,deter-2,68.18,88.28,76.94
,9,sub-3,0.0,0.0,0.0
,1485,none-0,86.85,82.69,84.72
,,,61.95,65.46,63.37
,,,,,,
,loss,precision,recall,F1,label_acc,Money_p
,0.33976,85.63,77.54,81.38,84.58,75.75
906,add-1,91.13,86.2,88.6
119,deter-2,60.43,94.96,73.86
3,sub-3,0.0,0.0,0.0
366,none-0,81.43,77.87,79.61
,,58.25,64.76,60.52
